interview__key,region,departement,milieu,materiau_toit,materiau_murs,nb_pieces,statut_occup,possede_bien_1,possede_bien_2,possede_bien_3,possede_bien_4,possede_bien_5,possede_bien_6,possede_bien_7,possede_bien_8,possede_bien_9,possede_bien_10,possede_bien_11,possede_bien_12,possede_bien_13,possede_bien_14,possede_bien_15,source_eau,type_toilettes,source_revenu_0,source_revenu_1,source_revenu_2,source_revenu_3,source_revenu_4,source_revenu_5,source_revenu_6,source_revenu_7,source_revenu_8,source_revenu_9,source_revenu_10,source_revenu_11,source_revenu_12,source_revenu_13,source_revenu_14,choc_subi
96-41-43-98,KOLDA,KOLDA,1,3,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
81-94-68-93,KOLDA,MEDINA YORO,1,4,6,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
62-40-78-49,KOLDA,KOLDA,1,4,3,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
43-26-29-71,KAFFRINE,BIRKELANE,1,4,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75-92-60-40,KOLDA,KOLDA,1,3,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
56-70-66-78,KOLDA,KOLDA,1,4,1,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
21-45-74-38,KOLDA,KOLDA,1,4,3,3,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,5,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,1
65-80-78-58,KOLDA,KOLDA,1,4,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
48-98-01-32,KOLDA,KOLDA,1,4,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
97-72-24-94,KAFFRINE,MALEM HODDA,1,4,3,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44-88-65-80,LOUGA,KEBEMER,1,4,6,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1
23-56-84-15,LOUGA,KEBEMER,1,3,1,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
73-15-93-84,KOLDA,KOLDA,1,3,1,8,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2
38-20-61-24,KOLDA,KOLDA,1,3,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
52-29-42-12,KOLDA,KOLDA,1,4,1,3,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2
51-84-90-01,LOUGA,KEBEMER,1,3,6,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
68-28-76-00,KOLDA,MEDINA YORO,1,3,6,10,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2
89-96-72-51,LOUGA,KEBEMER,1,4,6,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,2
01-52-67-44,KAFFRINE,BIRKELANE,1,4,3,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99-76-96-32,LOUGA,KEBEMER,1,3,6,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1
57-23-62-30,KOLDA,KOLDA,1,4,1,4,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2
45-63-27-95,KAFFRINE,BIRKELANE,1,3,1,6,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
28-70-08-37,KOLDA,KOLDA,1,3,1,3,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
51-68-43-10,KOLDA,KOLDA,1,4,3,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,5,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,2
25-11-52-28,KOLDA,KOLDA,1,4,1,3,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,5,9,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2
