interview__key,choc_id
62-40-78-49,1
62-40-78-49,8
62-40-78-49,11
43-26-29-71,6
43-26-29-71,13
21-45-74-38,1
21-45-74-38,6
21-45-74-38,8
97-72-24-94,7
97-72-24-94,13
44-88-65-80,8
01-52-67-44,12
01-52-67-44,13
99-76-96-32,10
45-63-27-95,6
45-63-27-95,13
97-21-19-20,7
01-78-24-09,8
03-58-11-30,11
55-33-13-64,6
55-33-13-64,10
55-33-13-64,13
33-86-49-73,6
33-86-49-73,8
33-86-49-73,10
25-90-81-96,6
25-90-81-96,8
25-90-81-96,10
09-50-21-61,5
67-85-39-86,4
38-32-91-03,4
78-87-80-26,10
90-96-06-73,5
87-39-36-51,6
87-39-36-51,8
87-39-36-51,10
77-95-29-91,13
87-92-38-90,2
87-92-38-90,6
87-92-38-90,12
56-23-62-24,12
56-23-62-24,13
72-51-73-39,2
72-51-73-39,6
72-51-73-39,12
12-97-53-18,10
55-74-33-14,11
68-72-69-62,1
68-72-69-62,10
24-34-23-11,4
24-34-23-11,6
24-34-23-11,13
89-71-28-41,10
89-71-28-41,13
42-90-69-84,1
35-63-43-65,6
35-63-43-65,11
15-09-23-55,4
15-09-23-55,6
15-09-23-55,13
00-11-37-86,6
00-11-37-86,13
50-00-31-64,13
82-20-97-63,6
82-20-97-63,13
36-30-62-88,6
36-30-62-88,13
90-27-40-08,6
90-27-40-08,13
44-89-45-00,1
76-66-25-80,6
76-66-25-80,10
76-66-25-80,13
32-48-15-25,6
32-48-15-25,13
45-11-10-77,11
76-40-23-29,6
76-40-23-29,10
76-40-23-29,13
46-62-32-77,6
46-62-32-77,10
46-62-32-77,13
97-84-83-29,6
97-84-83-29,8
97-84-83-29,10
24-15-13-10,5
33-71-71-87,13
42-16-33-48,13
96-40-15-19,1
18-16-71-23,13
97-84-88-90,1
97-84-88-90,6
97-84-88-90,10
06-15-52-28,6
06-15-52-28,9
06-15-52-28,10
98-91-96-31,6
98-91-96-31,8
98-91-96-31,11
32-84-23-57,13
24-88-00-73,6
24-88-00-73,10
24-88-00-73,13
34-31-74-61,6
34-31-74-61,13
77-65-22-11,6
77-65-22-11,8
77-65-22-11,10
70-59-73-21,8
11-58-84-83,6
21-41-12-91,1
21-41-12-91,6
21-41-12-91,8
31-65-44-53,4
31-65-44-53,6
31-65-44-53,10
66-40-88-37,10
78-41-02-86,10
75-36-12-71,6
75-36-12-71,8
75-36-12-71,11
92-36-52-49,6
92-36-52-49,10
92-36-52-49,13
41-20-56-86,6
41-20-56-86,8
41-20-56-86,10
99-36-19-11,12
21-98-21-80,6
21-98-21-80,8
21-98-21-80,10
25-33-75-40,6
25-33-75-40,10
25-33-75-40,13
45-98-09-38,6
45-98-09-38,10
45-98-09-38,13
26-24-57-93,6
26-24-57-93,13
03-19-49-44,6
03-19-49-44,13
35-23-40-45,4
35-23-40-45,9
83-07-38-80,8
83-07-38-80,10
24-09-31-27,13
20-73-18-62,4
20-73-18-62,10
16-52-55-13,4
16-52-55-13,6
16-52-55-13,9
66-30-94-15,8
13-85-48-93,13
20-23-45-13,3
20-23-45-13,4
53-10-04-49,7
51-16-75-82,10
13-98-85-62,6
13-98-85-62,10
13-98-85-62,13
95-04-43-18,4
95-04-43-18,13
93-45-34-09,1
96-32-96-36,8
63-42-45-36,9
63-42-45-36,11
96-36-53-55,8
27-22-71-22,1
27-22-71-22,13
48-91-73-26,9
48-91-73-26,13
26-75-32-45,10
94-09-07-23,10
11-62-17-47,6
11-62-17-47,9
11-62-17-47,13
91-69-15-32,6
91-69-15-32,8
91-69-15-32,11
54-44-41-87,1
54-44-41-87,6
54-44-41-87,10
15-37-29-78,6
15-37-29-78,8
15-37-29-78,10
07-33-87-67,6
07-33-87-67,8
16-20-79-49,6
16-20-79-49,10
16-20-79-49,13
23-75-91-59,6
23-75-91-59,8
23-75-91-59,11
36-07-94-25,4
36-07-94-25,9
20-71-46-91,6
20-71-46-91,8
20-71-46-91,11
12-96-22-72,6
12-96-22-72,10
12-96-22-72,13
41-77-36-18,5
41-77-36-18,6
41-77-36-18,10
78-03-42-52,6
78-03-42-52,8
78-03-42-52,10
59-84-18-38,9
59-84-18-38,13
67-44-11-44,6
67-44-11-44,10
67-44-11-44,13
73-12-65-67,1
73-12-65-67,6
73-12-65-67,8
30-76-91-10,1
18-39-12-09,6
18-39-12-09,9
18-39-12-09,13
37-40-43-70,6
37-40-43-70,10
37-40-43-70,13
01-51-26-76,4
01-51-26-76,6
01-51-26-76,13
41-53-90-61,13
02-74-75-93,10
90-91-91-55,1
90-91-91-55,4
51-45-69-55,13
77-36-03-59,10
77-36-03-59,13
39-25-35-58,6
39-25-35-58,13
55-12-68-72,6
55-12-68-72,8
55-12-68-72,11
81-14-82-64,10
76-82-89-14,8
76-82-89-14,13
97-06-92-02,5
45-02-98-13,4
45-02-98-13,9
45-02-98-13,13
35-54-39-98,6
35-54-39-98,10
35-54-39-98,13
16-33-88-76,3
16-33-88-76,5
16-33-88-76,13
52-07-77-75,4
52-07-77-75,13
77-60-16-82,6
77-60-16-82,10
77-60-16-82,13
38-13-40-42,9
27-55-31-28,6
27-55-31-28,10
27-55-31-28,12
46-53-98-17,1
46-53-98-17,6
46-53-98-17,13
23-75-03-88,6
23-75-03-88,10
23-75-03-88,13
87-01-83-86,1
02-21-83-50,3
02-21-83-50,13
56-47-63-92,4
56-47-63-92,13
94-82-62-85,1
94-82-62-85,6
94-82-62-85,10
82-34-07-73,4
82-34-07-73,10
39-59-07-20,10
91-50-26-85,6
91-50-26-85,8
91-50-26-85,10
36-76-81-05,11
28-59-96-25,1
28-59-96-25,6
28-59-96-25,8
40-35-27-23,8
40-35-27-23,13
68-77-48-49,1
68-77-48-49,4
68-77-48-49,13
43-19-66-70,6
43-19-66-70,10
43-19-66-70,12
08-24-25-99,4
74-55-22-16,1
74-55-22-16,6
74-55-22-16,8
12-20-65-96,9
12-20-65-96,13
22-49-85-82,10
22-49-85-82,13
55-82-44-87,6
55-82-44-87,8
55-82-44-87,10
42-00-89-19,9
12-44-98-96,6
12-44-98-96,10
12-44-98-96,13
54-10-35-98,4
54-10-35-98,7
54-10-35-98,8
86-34-32-16,8
41-64-01-98,6
41-64-01-98,10
41-64-01-98,13
47-06-73-79,11
38-35-83-76,12
75-12-60-35,6
75-12-60-35,9
26-61-42-62,13
99-33-20-12,2
34-31-71-93,1
34-31-71-93,4
34-31-71-93,8
10-30-29-62,4
08-96-11-09,8
74-21-70-97,1
74-21-70-97,8
74-21-70-97,10
15-18-37-33,7
15-18-37-33,8
15-18-37-33,10
14-33-74-77,10
04-31-05-95,13
68-19-68-07,13
40-74-80-54,5
78-65-20-83,5
52-17-54-94,1
52-17-54-94,7
52-17-54-94,12
44-31-64-43,10
80-94-52-28,13
87-38-33-05,4
63-53-89-88,10
58-16-76-77,1
48-97-86-72,10
25-52-48-75,10
88-50-30-12,13
85-95-83-84,13
99-65-78-34,11
94-33-81-05,13
63-14-10-20,10
63-94-63-41,6
63-94-63-41,13
04-10-86-90,7
74-86-37-59,9
83-24-80-55,10
83-24-80-55,11
71-72-76-21,10
50-05-06-41,6
50-05-06-41,11
50-05-06-41,13
59-95-30-21,6
59-95-30-21,13
16-78-20-34,10
79-07-36-16,6
79-07-36-16,9
79-07-36-16,10
83-28-94-93,4
83-28-94-93,10
94-56-92-17,6
94-56-92-17,13
06-32-97-92,8
34-38-15-44,4
29-99-82-36,6
29-99-82-36,13
36-94-12-67,11
64-78-61-52,6
64-78-61-52,13
53-33-49-68,11
68-22-45-45,6
68-22-45-45,13
45-71-20-96,6
45-71-20-96,13
56-66-20-77,8
44-10-80-33,13
00-97-03-03,6
00-97-03-03,13
24-34-31-41,1
24-34-31-41,6
24-34-31-41,8
63-27-78-81,6
63-27-78-81,13
90-45-66-67,1
90-45-66-67,6
90-45-66-67,10
43-50-38-25,6
43-50-38-25,13
75-54-80-69,6
75-54-80-69,13
12-72-92-97,6
12-72-92-97,13
34-21-74-96,6
34-21-74-96,13
96-24-70-79,6
96-24-70-79,8
96-24-70-79,11
59-10-34-48,6
44-14-98-31,6
44-14-98-31,7
44-14-98-31,11
66-94-06-72,4
66-94-06-72,6
66-94-06-72,13
16-65-25-84,6
41-64-54-12,6
41-64-54-12,13
59-64-06-62,9
69-01-73-60,11
54-71-15-98,6
54-71-15-98,9
45-90-17-41,6
45-90-17-41,13
42-19-82-14,6
42-19-82-14,13
76-16-29-34,3
76-16-29-34,13
95-14-09-44,6
95-14-09-44,13
61-58-54-69,1
61-58-54-69,6
61-58-54-69,11
56-39-00-76,10
56-39-00-76,12
56-39-00-76,13
35-64-93-47,6
35-64-93-47,13
97-95-35-47,6
97-95-35-47,13
14-45-30-72,6
14-45-30-72,13
23-40-44-01,1
23-40-44-01,6
41-23-08-45,8
41-23-08-45,13
37-46-73-37,8
58-98-99-29,13
18-36-08-13,6
18-36-08-13,8
18-36-08-13,10
75-78-72-72,6
75-78-72-72,11
75-78-72-72,12
04-30-53-80,13
82-92-69-70,6
82-92-69-70,8
82-92-69-70,10
78-56-49-03,13
73-73-80-88,1
73-73-80-88,4
73-73-80-88,10
95-34-71-69,5
36-27-07-25,5
73-91-20-65,10
46-45-32-95,2
46-45-32-95,6
46-77-35-69,6
46-77-35-69,11
81-05-46-71,8
01-70-83-84,8
69-51-25-70,9
69-51-25-70,13
82-44-87-84,2
82-44-87-84,11
08-35-78-40,6
08-35-78-40,9
66-02-07-22,6
66-02-07-22,10
45-27-90-01,4
45-27-90-01,11
03-43-09-02,4
16-15-86-59,4
16-15-86-59,8
16-15-86-59,10
41-09-74-22,2
41-09-74-22,6
28-74-56-64,8
26-90-90-85,8
78-76-79-06,8
75-47-64-97,10
42-22-30-58,10
81-88-70-50,13
05-22-07-67,8
05-22-07-67,13
80-69-84-75,8
98-49-75-73,6
98-49-75-73,12
81-46-81-24,10
22-75-07-73,8
61-97-98-59,3
59-98-54-55,13
73-56-63-28,3
13-05-36-81,11
03-80-87-90,1
29-89-65-16,8
29-89-65-16,9
50-81-66-48,4
50-81-66-48,11
76-96-54-36,10
76-96-54-36,13
27-21-43-16,6
27-21-43-16,10
22-33-39-35,6
22-33-39-35,13
46-08-78-37,4
46-08-78-37,9
53-28-63-87,13
73-83-53-03,6
73-83-53-03,10
73-83-53-03,12
96-43-50-78,4
96-43-50-78,11
20-16-33-92,9
20-16-33-92,13
09-94-99-51,4
72-55-61-69,6
72-55-61-69,13
30-82-25-73,9
30-82-25-73,10
57-89-53-05,10
09-57-14-31,8
44-53-98-42,8
64-00-35-90,5
02-17-82-76,13
38-64-68-86,13
97-91-30-58,6
97-91-30-58,13
94-51-44-20,9
55-71-13-02,6
55-71-13-02,13
75-28-45-13,6
75-28-45-13,13
74-25-26-31,6
74-25-26-31,13
59-63-55-09,6
59-63-55-09,13
78-39-13-64,13
88-94-11-68,7
88-94-11-68,12
27-07-11-00,9
84-42-97-16,6
84-42-97-16,13
28-45-11-73,8
00-22-44-59,13
83-32-64-55,4
83-32-64-55,9
31-25-84-44,6
31-25-84-44,13
66-16-41-04,10
87-11-12-53,13
69-21-20-36,4
69-21-20-36,9
41-11-71-95,9
98-70-78-64,13
07-07-80-77,6
07-07-80-77,9
07-48-42-27,10
84-58-28-46,6
84-58-28-46,13
57-33-98-39,6
57-33-98-39,13
38-79-16-96,13
42-17-29-86,8
78-56-51-12,6
78-56-51-12,13
15-59-60-78,13
66-18-61-46,6
66-18-61-46,13
38-38-35-92,6
38-38-35-92,13
45-95-02-23,13
66-15-14-01,6
66-15-14-01,13
97-52-09-17,6
05-28-32-51,6
05-28-32-51,13
18-92-34-46,13
61-14-00-84,8
86-37-36-84,6
86-37-36-84,13
90-46-59-00,8
55-19-99-59,9
55-19-99-59,13
89-01-63-22,6
89-01-63-22,13
29-41-37-31,13
84-70-05-67,6
84-70-05-67,10
84-70-05-67,12
94-27-05-68,6
94-27-05-68,9
94-27-05-68,13
89-73-11-65,6
89-73-11-65,13
20-32-42-76,13
57-04-98-86,12
14-29-38-12,1
14-29-38-12,6
14-29-38-12,11
88-74-49-45,10
77-41-91-78,13
78-78-69-73,9
78-78-69-73,13
56-52-91-74,9
91-80-04-04,9
