var_orig,var_new,label_new,modalities,type_new,keep,label_orig,type_orig
interview__key,interview__key,Interview key (identifier in XX-XX-XX-XX format),NA,,no,Interview key (identifier in XX-XX-XX-XX format),character
interview__id,interview__id,Unique 32-character long identifier of the interview,NA,,no,Unique 32-character long identifier of the interview,character
S0_01,S0_01,0.1 N° du Questionnaire,NA,,no,0.1 N° du Questionnaire,numeric
S0_02,S0_02,0.2 Région,NA,,no,0.2 Région,character
S0_03,S0_03,0.3 Département,NA,,no,0.3 Département,character
S0_04,S0_04,0.4 Arrondissement,NA,,no,0.4 Arrondissement,character
S0_05,S0_05,0.5 Collectivités territoriales,NA,,no,0.5 Collectivités territoriales,character
S0_06,S0_06,0.6 Village/Quartier,NA,,no,0.6 Village/Quartier,character
S0_07,S0_07,0.7 Numéro du DR,NA,,no,0.7 Numéro du DR,character
S0_08,S0_08,0.8 Milieu de résidence,1=Rural | 2=Urbain,,no,0.8 Milieu de résidence,"haven_labelled, vctrs_vctr, double"
S0_9_conc,S0_9_conc,Numero Concession,NA,,no,Numero Concession,character
S0_9,S0_9,0.9 Numéro de ménage (dans l’échantillon),NA,,no,0.9 Numéro de ménage (dans l’échantillon),character
S0_9_men_dr,S0_9_men_dr,Numero menage dans DR,NA,,no,Numero menage dans DR,character
S0_16,S0_16,0.16 Nom et prénom du chef de ménage,NA,,no,0.16 Nom et prénom du chef de ménage,character
coord_gps__Latitude,coord_gps__Latitude,Lieu de l'interview: Latitude,NA,,no,Lieu de l'interview: Latitude,numeric
coord_gps__Longitude,coord_gps__Longitude,Lieu de l'interview: Longitude,NA,,no,Lieu de l'interview: Longitude,numeric
coord_gps__Accuracy,coord_gps__Accuracy,Lieu de l'interview: Accuracy,NA,,no,Lieu de l'interview: Accuracy,numeric
coord_gps__Altitude,coord_gps__Altitude,Lieu de l'interview: Altitude,NA,,no,Lieu de l'interview: Altitude,numeric
coord_gps__Timestamp,coord_gps__Timestamp,Lieu de l'interview: Timestamp,NA,,no,Lieu de l'interview: Timestamp,character
S0_13,S0_13,0.13 Date et heure de début de l'interview,NA,,no,0.13 Date et heure de début de l'interview,character
S0_17,S0_17,0.17 Numéro de téléphone (CM si possible),NA,,no,0.17 Numéro de téléphone (CM si possible),character
S0_18,S0_18,0.18 Numéro de téléphone 2 (Femme si possible),NA,,no,0.18 Numéro de téléphone 2 (Femme si possible),character
S0_19,S0_19,0.19 Numéro de téléphone 3,NA,,no,0.19 Numéro de téléphone 3,character
