interview__key,numero_ind,sexe,age,lien_cm,statut_matri,scolarise,niveau_etudes,occupation,age_enfant,poids_enfant,taille_enfant,pb_enfant,oedeme_enfant,enfant_cible,malnutrition,region,departement,milieu
96-41-43-98,1,1,41,1,1,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
96-41-43-98,2,2,32,2,1,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
96-41-43-98,3,2,15,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
96-41-43-98,4,1,13,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
96-41-43-98,5,1,11,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
96-41-43-98,6,1,6,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
81-94-68-93,1,1,38,1,2,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,MEDINA YORO,1
81-94-68-93,2,2,25,2,2,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,MEDINA YORO,1
81-94-68-93,3,2,3,3,4,NA,NA,NA,38,"12,70","090,30",NA,2,TRUE,0,KOLDA,MEDINA YORO,1
81-94-68-93,4,2,8,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,MEDINA YORO,1
81-94-68-93,5,2,4,3,4,NA,NA,NA,46,"12,30","089,70",NA,2,TRUE,0,KOLDA,MEDINA YORO,1
62-40-78-49,1,1,48,1,3,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
62-40-78-49,2,1,14,3,4,1,1,10,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
62-40-78-49,3,1,10,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
62-40-78-49,4,1,8,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
62-40-78-49,5,2,6,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
43-26-29-71,1,1,48,1,1,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
43-26-29-71,2,2,35,2,1,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
43-26-29-71,3,1,18,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
43-26-29-71,4,1,16,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
43-26-29-71,5,1,13,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
43-26-29-71,6,2,11,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
43-26-29-71,7,1,7,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
43-26-29-71,8,2,6,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
43-26-29-71,9,2,6,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
43-26-29-71,10,1,1,3,4,NA,NA,NA,15,"10,00","076,50",NA,2,TRUE,0,KAFFRINE,BIRKELANE,1
75-92-60-40,1,1,25,1,1,1,1,8,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
75-92-60-40,2,2,75,4,3,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
75-92-60-40,3,2,22,2,1,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
75-92-60-40,4,1,10,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
75-92-60-40,5,1,8,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
