interview__key,region,departement,milieu,materiau_toit,materiau_murs,nb_pieces,statut_occup,possede_bien_1,possede_bien_2,possede_bien_3,possede_bien_4,possede_bien_5,possede_bien_6,possede_bien_7,possede_bien_8,possede_bien_9,possede_bien_10,possede_bien_11,possede_bien_12,possede_bien_13,possede_bien_14,possede_bien_15,source_eau,type_toilettes,source_revenu_0,source_revenu_1,source_revenu_2,source_revenu_3,source_revenu_4,source_revenu_5,source_revenu_6,source_revenu_7,source_revenu_8,source_revenu_9,source_revenu_10,source_revenu_11,source_revenu_12,source_revenu_13,source_revenu_14,nb_pieces_outlier,score_actifs,index_richesse_pca,index_richesse_pca_sd,quintile_richesse,nb_sources_revenu,eau_amelioree,cm_sexe,cm_age,cm_scolarise,cm_niveau_etudes,cm_occupation,nb_chocs,choc_subi
96-41-43-98,KOLDA,KOLDA,1,3,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,1,-0.9891166921538542,0.03098179016313267,1,1,0,1,41,2,NA,8,0,0
81-94-68-93,KOLDA,MEDINA YORO,1,4,6,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,1,-0.9891166921538542,0.03098179016313267,1,1,0,1,38,2,NA,8,0,0
62-40-78-49,KOLDA,KOLDA,1,4,3,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,FALSE,2,-0.7150676614294891,0.0148726168362021,2,1,0,1,48,2,NA,8,3,1
43-26-29-71,KAFFRINE,BIRKELANE,1,4,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2,0.03624776181241712,0.06059319329338716,4,1,1,1,48,2,NA,0,2,1
75-92-60-40,KOLDA,KOLDA,1,3,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,1,-0.9891166921538542,0.03098179016313267,1,1,0,1,25,1,1,8,0,0
56-70-66-78,KOLDA,KOLDA,1,4,1,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2,0.3684669567980387,0.6724253454429703,4,1,0,1,45,2,NA,8,0,0
21-45-74-38,KOLDA,KOLDA,1,4,3,3,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,5,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,FALSE,3,-0.6109334493949901,0.02176626658886312,3,1,0,1,56,2,NA,8,3,1
65-80-78-58,KOLDA,KOLDA,1,4,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,1,-0.06788645022208187,0.06241409171170249,4,1,0,1,43,2,NA,8,0,0
48-98-01-32,KOLDA,KOLDA,1,4,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,3,-0.6109334493949901,0.02176626658886312,3,1,0,1,37,1,1,8,0,0
97-72-24-94,KAFFRINE,MALEM HODDA,1,4,3,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,1,-0.9891166921538542,0.03098179016313267,1,1,1,1,66,2,NA,8,2,1
44-88-65-80,LOUGA,KEBEMER,1,4,6,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,FALSE,2,-0.7150676614294891,0.0148726168362021,2,1,1,1,63,2,NA,9,1,1
23-56-84-15,LOUGA,KEBEMER,1,3,1,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,2,-0.7150676614294891,0.0148726168362021,2,1,1,1,40,2,NA,9,0,0
73-15-93-84,KOLDA,KOLDA,1,3,1,8,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,FALSE,5,0.7884154255832159,0.1266902606783912,5,1,0,1,61,1,3,8,0,0
38-20-61-24,KOLDA,KOLDA,1,3,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2,-0.4270536043639605,0.03510665875381658,3,1,0,1,70,2,NA,0,0,0
52-29-42-12,KOLDA,KOLDA,1,4,1,3,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,FALSE,3,-0.6109334493949901,0.02176626658886312,3,1,0,1,62,2,NA,0,0,0
51-84-90-01,LOUGA,KEBEMER,1,3,6,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,2,-0.7150676614294891,0.0148726168362021,2,1,1,1,32,2,NA,9,0,0
68-28-76-00,KOLDA,MEDINA YORO,1,3,6,10,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,FALSE,2,-0.15183090496554197,0.07817203937421605,4,1,0,1,59,2,NA,8,0,0
