interview__key,region,milieu,score_actifs,asset_any_na
96-41-43-98,KOLDA,1,1,0
81-94-68-93,KOLDA,1,1,0
62-40-78-49,KOLDA,1,2,0
43-26-29-71,KAFFRINE,1,2,0
75-92-60-40,KOLDA,1,1,0
56-70-66-78,KOLDA,1,2,0
21-45-74-38,KOLDA,1,3,0
65-80-78-58,KOLDA,1,1,0
48-98-01-32,KOLDA,1,3,0
97-72-24-94,KAFFRINE,1,1,0
44-88-65-80,LOUGA,1,2,0
23-56-84-15,LOUGA,1,2,0
73-15-93-84,KOLDA,1,5,0
38-20-61-24,KOLDA,1,2,0
52-29-42-12,KOLDA,1,3,0
51-84-90-01,LOUGA,1,2,0
68-28-76-00,KOLDA,1,2,0
89-96-72-51,LOUGA,1,1,0
01-52-67-44,KAFFRINE,1,1,0
99-76-96-32,LOUGA,1,2,0
57-23-62-30,KOLDA,1,3,0
45-63-27-95,KAFFRINE,1,3,0
28-70-08-37,KOLDA,1,3,0
51-68-43-10,KOLDA,1,2,0
25-11-52-28,KOLDA,1,4,0
97-21-19-20,KAFFRINE,1,2,0
01-78-24-09,SAINT LOUIS,1,1,0
11-99-14-60,KOLDA,1,1,0
03-58-11-30,KOLDA,1,2,0
43-90-91-63,KOLDA,1,2,0
00-24-15-87,KOLDA,1,5,0
55-33-13-64,KOLDA,1,1,0
89-69-15-28,KOLDA,1,1,0
33-86-49-73,KOLDA,1,3,0
34-44-59-29,KOLDA,1,1,0
25-90-81-96,KOLDA,1,2,0
69-48-05-73,SEDHIOU,1,5,0
92-97-38-24,SEDHIOU,1,3,0
12-86-25-63,SEDHIOU,1,4,0
09-50-21-61,SAINT LOUIS,1,1,0
34-64-32-46,SEDHIOU,1,4,0
67-85-39-86,SAINT LOUIS,1,2,0
83-82-70-13,SEDHIOU,1,5,0
28-42-48-13,SEDHIOU,1,4,0
38-32-91-03,SAINT LOUIS,1,2,0
78-87-80-26,SAINT LOUIS,1,1,0
90-96-06-73,SAINT LOUIS,1,1,0
95-82-70-86,SAINT LOUIS,1,1,0
98-21-26-24,KOLDA,1,2,0
87-39-36-51,KOLDA,1,2,0
95-64-02-62,SAINT LOUIS,1,1,0
27-11-99-28,KOLDA,1,2,0
47-27-43-85,SAINT LOUIS,1,2,0
75-93-62-21,KOLDA,1,3,0
85-45-36-13,SAINT LOUIS,1,1,0
90-99-46-42,KOLDA,1,2,0
70-97-98-00,KOLDA,1,2,0
77-95-29-91,SAINT LOUIS,1,1,0
87-92-38-90,KOLDA,2,3,0
44-32-21-92,KOLDA,1,1,0
94-29-86-55,KOLDA,1,3,0
17-54-70-78,KOLDA,1,2,0
16-63-11-24,KOLDA,1,2,0
33-52-54-03,KOLDA,1,1,0
99-85-06-87,KOLDA,1,1,0
20-14-26-48,KOLDA,1,1,0
56-23-62-24,ZIGUINCHOR,1,1,0
72-51-73-39,KOLDA,1,3,0
75-80-19-36,KOLDA,1,1,0
12-97-53-18,TAMBACOUNDA,1,2,0
73-70-75-71,KOLDA,1,3,0
37-80-89-19,KAFFRINE,1,5,0
84-55-36-41,KOLDA,1,3,0
55-74-33-14,ZIGUINCHOR,1,1,0
68-72-69-62,KOLDA,1,3,0
24-34-23-11,KOLDA,1,1,0
19-77-69-22,KAFFRINE,1,2,0
89-71-28-41,LOUGA,1,1,0
64-13-55-22,KOLDA,1,1,0
42-90-69-84,KOLDA,1,2,0
31-91-72-52,KOLDA,1,1,0
35-63-43-65,KOLDA,1,2,0
27-80-29-86,KOLDA,1,1,0
82-87-71-06,KAFFRINE,1,1,0
15-09-23-55,KOLDA,1,4,0
00-11-37-86,KOLDA,1,3,0
50-00-31-64,TAMBACOUNDA,1,1,0
82-20-97-63,KOLDA,1,1,0
81-75-95-76,SEDHIOU,1,3,0
36-30-62-88,KOLDA,1,2,0
51-70-78-26,SEDHIOU,1,5,0
90-27-40-08,KOLDA,1,1,0
14-58-55-10,KOLDA,1,2,0
44-89-45-00,ZIGUINCHOR,1,3,0
73-89-26-98,KOLDA,1,1,0
42-00-63-85,ZIGUINCHOR,1,1,0
76-66-25-80,KOLDA,1,3,0
49-39-20-94,SEDHIOU,1,6,0
32-48-15-25,KOLDA,1,1,0
05-44-18-95,THIES,1,2,0
82-65-62-70,THIES,1,1,0
45-11-10-77,KOLDA,1,2,0
56-61-21-78,THIES,1,2,0
76-40-23-29,KOLDA,1,3,0
08-79-61-37,THIES,2,8,0
79-29-04-88,ZIGUINCHOR,1,3,0
08-28-16-93,THIES,1,1,0
14-11-57-48,KOLDA,1,0,0
42-20-33-94,SEDHIOU,1,5,0
46-62-32-77,KOLDA,1,2,0
40-20-84-56,ZIGUINCHOR,1,1,0
97-84-83-29,KOLDA,1,2,0
24-15-13-10,SEDHIOU,1,5,0
45-80-99-97,SEDHIOU,1,3,0
78-56-75-93,THIES,1,1,0
27-54-88-47,SEDHIOU,1,3,0
86-88-58-53,THIES,1,2,0
59-13-03-75,SAINT LOUIS,1,4,0
71-01-35-66,THIES,1,3,0
68-97-84-95,ZIGUINCHOR,1,1,0
29-56-98-70,SEDHIOU,1,4,0
57-08-58-57,THIES,2,5,0
33-71-71-87,THIES,1,2,0
87-71-59-07,LOUGA,1,2,0
56-70-08-88,SEDHIOU,1,3,0
42-16-33-48,THIES,1,2,0
92-64-25-05,LOUGA,1,2,0
90-90-48-06,THIES,1,4,0
18-30-68-36,SAINT LOUIS,1,2,0
96-40-15-19,THIES,1,3,0
47-24-78-00,SAINT LOUIS,1,2,0
29-54-92-04,THIES,1,2,0
34-09-98-55,THIES,1,1,0
32-29-03-36,THIES,1,2,0
09-60-96-20,THIES,1,2,0
88-00-69-19,SAINT LOUIS,1,4,0
66-08-27-39,ZIGUINCHOR,1,1,0
18-16-71-23,THIES,1,1,0
80-45-20-60,LOUGA,1,1,0
30-18-55-34,ZIGUINCHOR,1,1,0
97-84-88-90,KOLDA,1,2,0
06-15-52-28,ZIGUINCHOR,1,3,0
51-87-37-88,THIES,1,1,0
98-91-96-31,SEDHIOU,1,3,0
32-84-23-57,LOUGA,1,3,0
24-88-00-73,KOLDA,1,0,0
34-31-74-61,KOLDA,1,3,0
77-65-22-11,SEDHIOU,1,3,0
70-59-73-21,THIES,1,2,0
53-15-97-70,KOLDA,1,2,0
11-58-84-83,FATICK,1,3,0
51-46-40-07,THIES,2,3,0
69-65-91-07,ZIGUINCHOR,1,1,0
21-41-12-91,SEDHIOU,1,7,0
31-65-44-53,KOLDA,1,2,0
80-42-53-42,KOLDA,1,0,0
66-40-88-37,FATICK,1,1,0
78-41-02-86,LOUGA,1,3,0
11-43-80-75,SEDHIOU,1,4,0
75-36-12-71,SEDHIOU,1,3,0
45-60-77-83,THIES,1,0,0
92-36-52-49,KOLDA,1,2,0
85-97-57-07,SEDHIOU,1,2,0
41-20-56-86,SEDHIOU,1,2,0
99-36-19-11,LOUGA,1,1,0
40-69-66-30,SEDHIOU,1,3,0
21-98-21-80,SEDHIOU,1,5,0
67-72-78-46,THIES,1,1,0
25-33-75-40,KOLDA,1,1,0
45-98-09-38,KOLDA,1,3,0
26-24-57-93,KOLDA,1,4,0
97-93-48-87,FATICK,1,6,0
55-22-78-62,THIES,1,1,0
03-19-49-44,KOLDA,1,7,0
26-03-66-19,SEDHIOU,NA,0,1
20-33-37-49,ZIGUINCHOR,1,2,0
35-23-40-45,ZIGUINCHOR,1,1,0
83-07-38-80,THIES,1,2,0
53-56-32-64,LOUGA,1,2,0
27-97-16-71,SEDHIOU,1,4,0
24-09-31-27,LOUGA,1,1,0
20-73-18-62,ZIGUINCHOR,1,1,0
21-00-16-03,SEDHIOU,1,2,0
16-52-55-13,ZIGUINCHOR,1,1,0
